datetime_ist,best_ce_score,best_pe_score,trigger_1m_ce,trigger_1m_pe,entry_allowed
30-03-26 09:15:00 IST,,,False,False,True
30-03-26 09:16:00 IST,,,False,False,True
30-03-26 09:17:00 IST,,,False,False,True
30-03-26 09:18:00 IST,,,False,False,True
30-03-26 09:19:00 IST,,,False,False,True
30-03-26 09:20:00 IST,,,False,False,True
30-03-26 09:21:00 IST,,,False,False,True
30-03-26 09:22:00 IST,,,False,False,True
30-03-26 09:23:00 IST,,,False,False,True
30-03-26 09:24:00 IST,,,False,False,True
30-03-26 09:25:00 IST,,,False,False,True
30-03-26 09:26:00 IST,,,False,False,True
30-03-26 09:27:00 IST,,,False,False,True
30-03-26 09:28:00 IST,,,False,False,True
30-03-26 09:29:00 IST,,,False,False,True
30-03-26 09:30:00 IST,,,False,False,True
30-03-26 09:31:00 IST,,,False,False,True
30-03-26 09:32:00 IST,,,False,False,True
30-03-26 09:33:00 IST,,,False,False,True
30-03-26 09:34:00 IST,,,False,False,True
30-03-26 09:35:00 IST,,,False,False,True
30-03-26 09:36:00 IST,,,False,False,True
30-03-26 09:37:00 IST,,,False,False,True
30-03-26 09:38:00 IST,,,False,False,True
30-03-26 09:39:00 IST,,,False,False,True
30-03-26 09:40:00 IST,,,False,False,True
30-03-26 09:41:00 IST,,,False,False,True
30-03-26 09:42:00 IST,,,False,False,True
30-03-26 09:43:00 IST,,,False,False,True
30-03-26 09:44:00 IST,90.0,0,False,False,True
30-03-26 09:45:00 IST,100,0,False,False,True
30-03-26 09:46:00 IST,100,0,False,False,True
30-03-26 09:47:00 IST,100,0,False,False,True
30-03-26 09:48:00 IST,100,0,False,False,True
30-03-26 09:49:00 IST,100,12,False,False,True
30-03-26 09:50:00 IST,82,32,False,False,True
30-03-26 09:51:00 IST,82,32,False,False,True
30-03-26 09:52:00 IST,100,12,False,False,True
30-03-26 09:53:00 IST,100,12,False,False,True
30-03-26 09:54:00 IST,100,12,False,False,True
30-03-26 09:55:00 IST,100,57,False,False,True
30-03-26 09:56:00 IST,57,32,False,False,True
30-03-26 09:57:00 IST,57,32,False,False,True
30-03-26 09:58:00 IST,57,32,False,False,True
30-03-26 09:59:00 IST,57,32,False,False,True
30-03-26 10:00:00 IST,60,35,False,False,True
30-03-26 10:01:00 IST,35,10,False,False,True
30-03-26 10:02:00 IST,35,10,False,False,True
30-03-26 10:03:00 IST,55,0,False,False,True
30-03-26 10:04:00 IST,65.0,0,False,False,True
30-03-26 10:05:00 IST,100,0,False,False,True
30-03-26 10:06:00 IST,100,0,False,False,True
30-03-26 10:07:00 IST,100,12,False,False,True
30-03-26 10:08:00 IST,57,32,False,False,True
30-03-26 10:09:00 IST,57,32,False,False,True
30-03-26 10:10:00 IST,82,20.0,False,False,True
30-03-26 10:11:00 IST,17,20.0,False,False,True
30-03-26 10:12:00 IST,17,45.0,False,False,True
30-03-26 10:13:00 IST,17,45.0,False,False,True
30-03-26 10:14:00 IST,17,45.0,False,False,True
30-03-26 10:15:00 IST,0,20.0,False,False,True
30-03-26 10:16:00 IST,35,10,False,False,True
30-03-26 10:17:00 IST,0,45.0,False,False,True
30-03-26 10:18:00 IST,0,45.0,False,False,True
30-03-26 10:19:00 IST,0,45.0,False,False,True
30-03-26 10:20:00 IST,17,67.0,False,False,True
30-03-26 10:21:00 IST,17,67.0,False,False,True
30-03-26 10:22:00 IST,17,67.0,False,False,True
30-03-26 10:23:00 IST,17,67.0,False,False,True
30-03-26 10:24:00 IST,17,67.0,False,False,True
30-03-26 10:25:00 IST,17,67.0,False,False,True
30-03-26 10:26:00 IST,17,67.0,False,False,True
30-03-26 10:27:00 IST,17,67.0,False,False,True
30-03-26 10:28:00 IST,17,67.0,False,False,True
30-03-26 10:29:00 IST,17,67.0,False,False,True
30-03-26 10:30:00 IST,42,45.0,False,False,True
30-03-26 10:31:00 IST,17,45.0,False,False,True
30-03-26 10:32:00 IST,17,45.0,False,False,True
30-03-26 10:33:00 IST,17,45.0,False,False,True
30-03-26 10:34:00 IST,17,45.0,False,False,True
30-03-26 10:35:00 IST,42,45.0,False,False,True
30-03-26 10:36:00 IST,17,45.0,False,False,True
30-03-26 10:37:00 IST,17,45.0,False,False,True
30-03-26 10:38:00 IST,17,45.0,False,False,True
30-03-26 10:39:00 IST,17,45.0,False,False,True
30-03-26 10:40:00 IST,57,57,False,False,True
30-03-26 10:41:00 IST,57,57,False,False,True
30-03-26 10:42:00 IST,57,67.0,False,False,True
30-03-26 10:43:00 IST,17,67.0,False,False,True
30-03-26 10:44:00 IST,17,67.0,False,False,True
30-03-26 10:45:00 IST,0,45.0,False,False,True
30-03-26 10:46:00 IST,0,45.0,False,False,True
30-03-26 10:47:00 IST,0,45.0,False,False,True
30-03-26 10:48:00 IST,0,45.0,False,False,True
30-03-26 10:49:00 IST,20,30,False,False,True
30-03-26 10:50:00 IST,52,77,False,False,True
30-03-26 10:51:00 IST,52,52,False,False,True
30-03-26 10:52:00 IST,52,52,False,False,True
30-03-26 10:53:00 IST,12,62.0,False,False,True
30-03-26 10:54:00 IST,12,62.0,False,False,True
30-03-26 10:55:00 IST,42,45.0,False,True,True
30-03-26 10:56:00 IST,17,45.0,False,False,True
30-03-26 10:57:00 IST,17,45.0,False,False,True
30-03-26 10:58:00 IST,52,30,False,False,True
30-03-26 10:59:00 IST,57,35,False,False,True
30-03-26 11:00:00 IST,17,67.0,False,False,True
30-03-26 11:01:00 IST,17,67.0,False,False,True
30-03-26 11:02:00 IST,17,67.0,False,False,True
30-03-26 11:03:00 IST,17,67.0,False,False,True
30-03-26 11:04:00 IST,57,67.0,False,False,True
30-03-26 11:05:00 IST,30,30,False,False,True
30-03-26 11:06:00 IST,30,30,False,False,True
30-03-26 11:07:00 IST,30,30,False,False,True
30-03-26 11:08:00 IST,30,30,False,False,True
30-03-26 11:09:00 IST,35,45.0,False,False,True
30-03-26 11:10:00 IST,7,67.0,False,True,True
30-03-26 11:11:00 IST,7,67.0,False,False,True
30-03-26 11:12:00 IST,7,67.0,False,False,True
30-03-26 11:13:00 IST,7,67.0,False,False,True
